,day_number,weekday,daily_light_mean,daily_steps,quarter,user_id
0,1,1,79.87,3255,2,cefdb7fe
1,2,2,45.33007,3728,2,cefdb7fe
2,3,3,79.81522,3128,2,cefdb7fe
3,4,4,122.51302,4341,2,cefdb7fe
4,5,5,155.06902,7289,2,cefdb7fe
5,6,6,52.717216,3389,2,cefdb7fe
6,7,7,48.53928,1723,2,cefdb7fe
7,8,1,27.153223,1984,2,cefdb7fe
8,9,2,45.829346,3284,2,cefdb7fe
9,10,3,31.627005,2318,2,cefdb7fe
10,11,4,23.178398,2489,2,cefdb7fe
11,12,5,15.529262,713,2,cefdb7fe
12,13,6,92.94214,1192,2,cefdb7fe
13,14,7,229.11296,785,3,cefdb7fe
14,15,1,34.788494,3158,3,cefdb7fe
15,16,2,32.551796,2292,3,cefdb7fe
16,17,3,116.4752,1267,3,cefdb7fe
17,18,4,135.90297,2115,3,cefdb7fe
18,19,5,9.741724,782,3,cefdb7fe
19,20,6,119.33911,635,3,cefdb7fe
20,21,7,73.26144,2631,3,cefdb7fe
21,22,1,220.87369,1540,3,cefdb7fe
22,23,2,277.16522,5248,3,cefdb7fe
23,24,3,116.46151,1912,3,cefdb7fe
24,25,4,9.77143,321,3,cefdb7fe
0,1,7,18.88911,683,1,ca33a5e7
1,2,1,14.513287,2057,1,ca33a5e7
2,3,2,13.366079,1364,1,ca33a5e7
3,4,3,4.4281936,706,1,ca33a5e7
4,5,4,1.1962717,20,1,ca33a5e7
5,6,5,90.42112,0,1,ca33a5e7
6,7,6,9.62445,0,1,ca33a5e7
7,8,7,0.31577137,0,1,ca33a5e7
8,9,1,71.2259,0,1,ca33a5e7
9,10,2,33.548504,4,1,ca33a5e7
10,11,3,0.4923455,0,1,ca33a5e7
11,12,4,48.44644,1,1,ca33a5e7
12,13,5,26.418415,0,1,ca33a5e7
13,14,6,64.0735,8,1,ca33a5e7
14,15,7,24.195131,0,1,ca33a5e7
15,16,1,0.90995497,0,1,ca33a5e7
16,17,2,2.1361315,0,1,ca33a5e7
17,18,3,6.0489597,0,1,ca33a5e7
18,19,4,40.243366,0,1,ca33a5e7
19,20,5,23.874187,0,1,ca33a5e7
20,21,6,12.047436,0,1,ca33a5e7
21,22,7,193.94467,0,1,ca33a5e7
22,23,1,189.95268,0,1,ca33a5e7
23,24,2,26.701973,43,1,ca33a5e7
24,25,3,5.711739,0,1,ca33a5e7
25,26,4,5.8441114,0,1,ca33a5e7
26,27,5,26.499416,0,1,ca33a5e7
27,28,6,35.66589,0,1,ca33a5e7
28,29,7,0.7824603,6,1,ca33a5e7
29,30,1,60.829723,85,1,ca33a5e7
30,31,2,5.2571287,67,1,ca33a5e7
31,32,3,4.988611,162,1,ca33a5e7
0,1,3,10.720335,2955,4,6b6467f4
1,2,4,8.0,7,4,6b6467f4
0,1,5,34.26041,2900,2,ebf30e46
1,2,6,0.42289186,12,2,ebf30e46
2,3,7,99.669395,3493,2,ebf30e46
3,4,1,5.499549,1,2,ebf30e46
4,5,2,4.8404827,234,2,ebf30e46
5,6,3,573.96814,10863,2,ebf30e46
6,7,4,1.9533018,0,2,ebf30e46
7,8,5,18.139496,4052,2,ebf30e46
8,9,6,2.5048583,88,2,ebf30e46
9,10,7,12.785746,1811,2,ebf30e46
10,11,1,34.069843,4195,2,ebf30e46
11,12,2,228.00098,7577,2,ebf30e46
12,13,3,11.719316,6,2,ebf30e46
13,14,4,4.6380725,1298,2,ebf30e46
14,15,5,60.483143,4281,2,ebf30e46
15,16,7,10.509387,0,2,ebf30e46
16,17,1,13.772469,0,2,ebf30e46
17,18,4,21.505476,6,2,ebf30e46
18,19,7,7.77994,0,2,ebf30e46
19,20,2,4.3333488,0,2,ebf30e46
20,21,5,2.2656353,0,2,ebf30e46
21,22,7,4.005226,0,2,ebf30e46
22,23,3,6.48368,0,2,ebf30e46
23,24,4,6.750009,0,2,ebf30e46
24,25,5,7.2586102,1,2,ebf30e46
25,26,6,11.487708,0,2,ebf30e46
26,27,7,3.7093952,0,2,ebf30e46
27,28,2,1.6166667,0,2,ebf30e46
28,29,3,1.5074018,381,2,ebf30e46
29,30,4,1.4122583,341,2,ebf30e46
30,31,5,3.1315157,727,2,ebf30e46
31,32,6,11.843043,29,2,ebf30e46
32,33,7,2.2165258,196,2,ebf30e46
33,34,1,1.7746493,334,2,ebf30e46
34,35,2,2.3122904,225,2,ebf30e46
35,36,3,1.4895476,735,2,ebf30e46
36,37,4,6.699333,358,2,ebf30e46
37,38,5,1.477407,697,2,ebf30e46
38,39,6,2.5370803,257,2,ebf30e46
39,40,7,3.4315863,188,2,ebf30e46
40,41,1,23.290115,434,2,ebf30e46
41,42,2,73.263565,210,2,ebf30e46
42,43,3,59.2824,223,2,ebf30e46
43,44,4,20.95087,69,2,ebf30e46
44,45,5,8.040613,3,2,ebf30e46
45,46,6,1.8438492,0,2,ebf30e46
46,47,7,1.502626,0,2,ebf30e46
47,48,1,3.258473,32,2,ebf30e46
48,49,2,40.599373,6,2,ebf30e46
0,1,1,8.087728,1710,1,e683d2c9
1,2,2,17.934832,6160,1,e683d2c9
2,3,3,1.0,1,1,e683d2c9
0,1,3,35.459396,2329,2,bebff291
1,2,4,24.84502,4983,2,bebff291
2,3,5,22.548828,1392,2,bebff291
3,4,6,59.207764,5338,2,bebff291
4,5,7,1.4754745,0,2,bebff291
5,6,1,2.3835654,3,2,bebff291
6,7,2,4.813554,430,2,bebff291
7,8,3,4.787375,76,2,bebff291
8,9,4,4.852783,750,2,bebff291
9,10,5,72.13747,7854,2,bebff291
10,11,6,115.745224,10166,2,bebff291
11,12,7,13.92035,5955,2,bebff291
12,13,1,75.17865,7581,2,bebff291
13,14,2,30.162964,5572,2,bebff291
14,15,3,60.210274,1912,2,bebff291
15,16,4,11.936232,1495,2,bebff291
16,17,5,15.411203,2760,2,bebff291
17,18,6,8.861343,121,2,bebff291
18,19,7,4.3052197,125,2,bebff291
19,20,1,1.7580156,1759,2,bebff291
20,21,2,17.860676,1687,2,bebff291
21,22,3,21.2587,1234,2,bebff291
22,23,4,9.32723,833,2,bebff291
23,24,5,10.288975,0,2,bebff291
0,1,3,11.981789,1198,4,d4d2f272
1,2,4,7.6396675,1107,4,d4d2f272
2,3,5,5.82781,4506,4,d4d2f272
3,4,6,11.470141,3548,4,d4d2f272
4,5,7,18.59345,3028,4,d4d2f272
5,6,1,6.8061905,1690,4,d4d2f272
6,7,2,6.8617945,2865,4,d4d2f272
7,8,3,7.580312,1767,4,d4d2f272
8,9,4,10.307936,3667,4,d4d2f272
9,10,5,10.098319,2948,4,d4d2f272
10,11,6,3.4508126,2958,1,d4d2f272
11,12,7,7.5673294,3269,1,d4d2f272
12,13,1,9.041968,2056,1,d4d2f272
